RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,ZIP code,Amount,TPN_ID
1,Chancellor,6000,100877,APPLE COMPUTER INC,PO BOX 281877,,ATLANTA,GA,30384-1877,18071,1-6000-100877
1,Chancellor,6000,101243,B&H PHOTO VIDEO,119 WEST 17TH STREET,,NEW YORK,NY,10011,4019,1-6000-101243
1,Chancellor,6000,103356,DELL MARKETING LP,DEPT AT 40275,,ATLANTA,GA,31192-0001,6127,1-6000-103356
1,Chancellor,6000,104384,FRANKLIN INTERIORS,PO BOX 6107,,HERMITAGE,PA,16148-0923,3284,1-6000-104384
1,Chancellor,6000,119301,WORKSCAPE INC,KNOLL C/O WORKSCAPE,PO BOX 277778,ATLANTA,GA,30384-7778,2051,1-6000-119301
1,Chancellor,6000,185133,CDW GOVERNMENT INC,75 REMITTANCE DR,SUITE 1515,CHICAGO,IL,60675-1515,7500,1-6000-185133
1,Chancellor,6000,223247,GEORGIA TECH RESEARCH CORP,PO BOX 100117,,ATLANTA,GA,30384,5120,1-6000-223247
1,Chancellor,6000,270675,RED OAK BRANDED SOLUTIONS,531 PHILADELPHIA STREET,,INDIANA,PA,15701,1120,1-6000-270675
1,Chancellor,6000,470395,FACEBOOK,,,,,94304,6769,1-6000-470395
1,Chancellor,6000,477548,SITEIMPROVE INC,1422 WEST LAKE ST  #314,,MINNEAPOLIS,MN,55408,83804,1-6000-477548
1,Chancellor,6000,520180,TWITTER ADVERTISING,PCARD,,,CA,941070000,4135,1-6000-520180
1,Chancellor,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,6600,1-6000-521322
1,Chancellor,6000,546111,LUCID SOFTWARE INC,DEPT CH 17239,,PALATINE,IL,60055-7239,17280,1-6000-546111
1,Chancellor,6000,581885,CUSTOMER EXPRESSIONS CORP,2255 CARLING AVE SUITE 500,,OTTAWA,,K2B 7Z5,6000,1-6000-581885
1,Chancellor,6000,584985,ASANA,PCARD,,,CA,941030000,1889,1-6000-584985
1,Chancellor,6000,588171,WIDEN ENTERPRISES INC,PO BOX 8801,,CAROL STREAM,IL,60197-8801,15118,1-6000-588171
1,Chancellor,6000,601707,SONOCENT LLC,4500 140TH AVE NORTH STE 101,,CLEARWATER,FL,33762,4500,1-6000-601707
1,Chancellor,6000,616322,LOCALIST CORPORATION,8484 GEORGIA AVENUE SUITE 675,,SILVER SPRING,MD,20910,18045,1-6000-616322
1,Chancellor,6000,620685,ACCESSIBLE INFORMATION MANAGEMENT LLC,560 NE F ST STE A#413,,GRANTS PASS,OR,97526,11643,1-6000-620685
1,Chancellor,6000,622628,VERBIT INC,DEPT CH 19731,,PALATINE,IL,60055-9731,70000,1-6000-622628
1,Chancellor,6000,638071,CONCEPT3D,3858 WALNUT STREET NUMBER 212,,DENVER,CO,80205,9346,1-6000-638071
1,Chancellor,6000,684994,MONDAY.COM LTD,52 MENACHEM BEGIN ST,,TEL AVIV,,6713701,26100,1-6000-684994
1,Chancellor,6000,690204,NOTE TAKING EXPRESS INC,228 PARK AVE S PMB 98547,,NEW YORK,NY,10003-1502,4732,1-6000-690204
1,Chancellor,6400,100032,AAAS,POST OFFICE BOX 521,,ANNAPOLIS JUNCTION,MD,20701,1345,1-6400-100032
1,Chancellor,6400,109571,PUBLIC PARKING AUTHORITY OF PITTSBURGH,232 BLVD OF ALLIES,DEPT OF FINANCE,PITTSBURGH,PA,15222-1616,153386,1-6400-109571
1,Chancellor,6400,169694,"VALLEY, GREGG",648 WINDSOR DR,,BENICIA,CA,94510,2700,1-6400-169694
1,Chancellor,6400,175975,ALCO PARKING CORP,CENTRE COMMONS GARAGE,501 MARTINDALE STREET,PITTSBURGH,PA,15212,1188,1-6400-175975
1,Chancellor,6400,192844,HARRY WALKER AGENCY INC,ONE PENN PLAZA,SUITE 2400,NEW YORK,NY,10119,15000,1-6400-192844
